exercise_name,primary_muscles,secondary_muscles,equipment,level,force,category,mechanic,text_chunk,instructions
Front Barbell Squat To A Bench,quadriceps,"calves, glutes, hamstrings",barbell,expert,push,strength,compound,"Front Barbell Squat To A Bench is a expert level strength exercise targeting the quadriceps. It involves a push motion and is considered a compound movement. Equipment needed: barbell. Secondary muscles worked: calves, glutes, hamstrings. Instructions: This exercise is best performed inside a squat rack for safety purposes. To begin, first set a flat bench behind you and set the bar on a rack that best matches your height. Once the correct height is chosen and the bar is loaded, bring your arms up under the bar while keeping the elbows high and the upper arm slightly above parallel to the floor. Rest the bar on top of the deltoids and cross your arms while grasping the bar for total control. Lift the bar off the rack by first pushing with your legs and at the same time straightening your torso. Step away from the rack and position your legs using a shoulder width medium stance with the toes slightly pointed out. Keep your head up at all times as looking down will get you off balance and also maintain a straight back. This will be your starting position. (Note: For the purposes of this discussion we will use the medium stance described above which targets overall development; however you can choose any of the three stances described in the foot positioning section). Begin to slowly lower the bar by bending the knees as you maintain a straight posture with the head up. Continue down until you touch the bench with your glutes. Inhale as you perform this portion of the movement. Tip: If you performed the exercise correctly, the front of the knees should make an imaginary straight line with the toes that is perpendicular to the front. If your knees are past that imaginary line (if they are past your toes) then you are placing undue stress on the knee and the exercise has been performed incorrectly. Begin to raise the bar as you exhale by pushing the floor mainly with the heel of your foot as you straighten the legs again and go back to the starting position. Repeat for the recommended amount of repetitions.",
Front Box Jump,hamstrings,"abductors, adductors, calves, glutes, quadriceps",other,beginner,push,plyometrics,compound,"Front Box Jump is a beginner level plyometrics exercise targeting the hamstrings. It involves a push motion and is considered a compound movement. Equipment needed: other. Secondary muscles worked: abductors, adductors, calves, glutes, quadriceps. Instructions: Begin with a box of an appropriate height 1-2 feet in front of you. Stand with your feet should width apart. This will be your starting position. Perform a short squat in preparation for jumping, swinging your arms behind you. Rebound out of this position, extending through the hips, knees, and ankles to jump as high as possible. Swing your arms forward and up. Land on the box with the knees bent, absorbing the impact through the legs. You can jump from the box back to the ground, or preferably step down one leg at a time.",
Front Cone Hops (or hurdle hops),quadriceps,"abductors, adductors, calves, glutes, hamstrings",other,beginner,push,plyometrics,compound,"Front Cone Hops (or hurdle hops) is a beginner level plyometrics exercise targeting the quadriceps. It involves a push motion and is considered a compound movement. Equipment needed: other. Secondary muscles worked: abductors, adductors, calves, glutes, hamstrings. Instructions: Set up a row of cones or other small barriers, placing them a few feet apart. Stand in front of the first cone with your feet shoulder width apart. This will be your starting position. Begin by jumping with both feet over the first cone, swinging both arms as you jump. Absorb the impact of landing by bending the knees, rebounding out of the first leap by jumping over the next cone. Continue until you have jumped over all of the cones.",
Front Raise And Pullover,chest,"lats, shoulders, triceps",barbell,beginner,pull,strength,compound,"Front Raise And Pullover is a beginner level strength exercise targeting the chest. It involves a pull motion and is considered a compound movement. Equipment needed: barbell. Secondary muscles worked: lats, shoulders, triceps. Instructions: Lie on a flat bench while holding a barbell using a palms down grip that is about 15 inches apart. Place the bar on your upper thighs, extend your arms and lock them while keeping a slight bend on the elbows. This will be your starting position. Now raise the weight using a semicircular motion and keeping your arms straight as you inhale. Continue the same movement until the bar is on the other side above your head . (Tip: the bar will travel approximately 180-degrees). At this point your arms should be parallel to the floor with the palms of your hands facing the ceiling. Now return the barbell to the starting position by reversing the motion as you exhale. Repeat for the recommended amount of repetitions.",
Front Squat (Clean Grip),quadriceps,"abdominals, glutes, hamstrings",barbell,intermediate,push,strength,compound,"Front Squat (Clean Grip) is a intermediate level strength exercise targeting the quadriceps. It involves a push motion and is considered a compound movement. Equipment needed: barbell. Secondary muscles worked: abdominals, glutes, hamstrings. Instructions: To begin, first set the bar in a rack slightly below shoulder level. Rest the bar on top of the deltoids, pushing into the clavicles, and lightly touching the throat. Your hands should be in a clean grip, touching the bar only with your fingers to help keep it in position. Lift the bar off the rack by first pushing with your legs and at the same time straightening your torso. Step away from the rack and position your legs using a shoulder width medium stance with the toes slightly pointed out. Keep your head and elbows up at all times. This will be your starting position. Bend at the knees, sitting down between your legs. Continue down until your hamstrings are on your calves. Keep your knees aligned with your feet by consciously using your abductors to push your knees out as you squat. Begin to raise the bar as you exhale by pushing the floor mainly with the heel or middle of your foot as you straighten the legs again and return to the starting position.",
Front Squats With Two Kettlebells,quadriceps,"calves, glutes",kettlebells,intermediate,push,strength,compound,"Front Squats With Two Kettlebells is a intermediate level strength exercise targeting the quadriceps. It involves a push motion and is considered a compound movement. Equipment needed: kettlebells. Secondary muscles worked: calves, glutes. Instructions: Clean two kettlebells to your shoulders. Clean the kettlebells to your shoulders by extending through the legs and hips as you pull the kettlebells towards your shoulders. Rotate your wrists as you do so. Looking straight ahead at all times, squat as low as you can and pause at the bottom. As you squat down, push your knees out. You should squat between your legs, keeping an upright torso, with your head and chest up. Rise back up by driving through your heels and repeat.",
Full Range-Of-Motion Lat Pulldown,lats,"biceps, middle back, shoulders",cable,intermediate,pull,strength,compound,"Full Range-Of-Motion Lat Pulldown is a intermediate level strength exercise targeting the lats. It involves a pull motion and is considered a compound movement. Equipment needed: cable. Secondary muscles worked: biceps, middle back, shoulders. Instructions: Either standing or seated on a high bench, grasp two stirrup cables that are attached to the high pulleys. Grab with the opposing hand so your arms are crisscrossed about you and your palms are facing forward. Keeping your chest up and maintaining a slight arch in your lower back, pull the handles down as if you were doing a regular pulldown. The range of motion will be more of an arc. During the movement, rotate your hands so that in the bottom position your palms face each other rather than forward. Return slowly to the starting position and repeat.",
Gironda Sternum Chins,lats,"biceps, middle back",other,intermediate,pull,strength,compound,"Gironda Sternum Chins is a intermediate level strength exercise targeting the lats. It involves a pull motion and is considered a compound movement. Equipment needed: other. Secondary muscles worked: biceps, middle back. Instructions: Grasp the pull-up bar with a shoulder width underhand grip. Now hang with your arms fully extended and stick your chest out and lean back. Tip: You will be leaning back throughout the entire movement. This will be your starting position. Start pulling yourself towards the bar with your spine arched throughout the movement and your head leaning back as far away from the bar as possible. Exhale as you perform this portion of the movement. Tip: At the upper end of the movement, your hips and legs will be at about a 45-degree angle to the floor. Keep pulling until your collarbone passes the bar and your lower chest or sternum area touches it. Hold that contraction for a second. Tip: By the time you've completed this portion of the movement; your head will be parallel to the floor. Slowly start going back to the starting position as you inhale. Repeat for the recommended amount of repetitions.",
Glute Ham Raise,hamstrings,"calves, glutes",machine,intermediate,pull,powerlifting,compound,"Glute Ham Raise is a intermediate level powerlifting exercise targeting the hamstrings. It involves a pull motion and is considered a compound movement. Equipment needed: machine. Secondary muscles worked: calves, glutes. Instructions: Begin by adjusting the equipment to fit your body. Place your feet against the footplate in between the rollers as you lie facedown. Your knees should be just behind the pad. Start from the bottom of the movement. Keep your back arched as you begin the movement by flexing the knees. Drive your toes into the foot plate as you do so. Keep your upper body straight, and continue until your body is upright. Return to the starting position, keeping your descent under control.",
Glute Kickback,glutes,hamstrings,body only,beginner,push,strength,compound,"Glute Kickback is a beginner level strength exercise targeting the glutes. It involves a push motion and is considered a compound movement. Equipment needed: body only. Secondary muscles worked: hamstrings. Instructions: Kneel on the floor or an exercise mat and bend at the waist with your arms extended in front of you (perpendicular to the torso) in order to get into a kneeling push-up position but with the arms spaced at shoulder width. Your head should be looking forward and the bend of the knees should create a 90-degree angle between the hamstrings and the calves. This will be your starting position. As you exhale, lift up your right leg until the hamstrings are in line with the back while maintaining the 90-degree angle bend. Contract the glutes throughout this movement and hold the contraction at the top for a second. Tip: At the end of the movement the upper leg should be parallel to the floor while the calf should be perpendicular to it. Go back to the initial position as you inhale and now repeat with the left leg. Continue to alternate legs until all of the recommended repetitions have been performed.",
Goblet Squat,quadriceps,"calves, glutes, hamstrings, shoulders",kettlebells,beginner,push,strength,compound,"Goblet Squat is a beginner level strength exercise targeting the quadriceps. It involves a push motion and is considered a compound movement. Equipment needed: kettlebells. Secondary muscles worked: calves, glutes, hamstrings, shoulders. Instructions: Stand holding a light kettlebell by the horns close to your chest. This will be your starting position. Squat down between your legs until your hamstrings are on your calves. Keep your chest and head up and your back straight. At the bottom position, pause and use your elbows to push your knees out. Return to the starting position, and repeat for 10-20 repetitions.",
Good Morning,hamstrings,"abdominals, glutes, lower back",barbell,intermediate,push,powerlifting,compound,"Good Morning is a intermediate level powerlifting exercise targeting the hamstrings. It involves a push motion and is considered a compound movement. Equipment needed: barbell. Secondary muscles worked: abdominals, glutes, lower back. Instructions: Begin with a bar on a rack at shoulder height. Rack the bar across the rear of your shoulders as you would a power squat, not on top of your shoulders. Keep your back tight, shoulder blades pinched together, and your knees slightly bent. Step back from the rack. Begin by bending at the hips, moving them back as you bend over to near parallel. Keep your back arched and your cervical spine in proper alignment. Reverse the motion by extending through the hips with your glutes and hamstrings. Continue until you have returned to the starting position.",
Good Morning off Pins,hamstrings,"abdominals, glutes, lower back",barbell,intermediate,push,powerlifting,compound,"Good Morning off Pins is a intermediate level powerlifting exercise targeting the hamstrings. It involves a push motion and is considered a compound movement. Equipment needed: barbell. Secondary muscles worked: abdominals, glutes, lower back. Instructions: Begin with a bar on a rack at about the same height as your stomach. Bend over underneath the bar and rack the bar across the rear of your shoulders as you would a power squat, not on top of your shoulders. At the proper height, you should be near parallel to the floor when bent over. Keep your back tight, shoulder blades pinched together, and your knees slightly bent. Keep your back arched and your cervical spine in proper alignment. Begin the motion by extending through the hips with your glutes and hamstrings, and you are standing with the weight. Slowly lower the weight back to the pins returning to the starting position.",
Gorilla Chin/Crunch,abdominals,"biceps, lats",body only,intermediate,pull,strength,compound,"Gorilla Chin/Crunch is a intermediate level strength exercise targeting the abdominals. It involves a pull motion and is considered a compound movement. Equipment needed: body only. Secondary muscles worked: biceps, lats. Instructions: Hang from a chin-up bar using an underhand grip (palms facing you) that is slightly wider than shoulder width. Now bend your knees at a 90 degree angle so that the calves are parallel to the floor while the thighs remain perpendicular to it. This will be your starting position. As you exhale, pull yourself up while crunching your knees up at the same time until your knees are at chest level. You will stop going up as soon as your nose is at the same level as the bar. Tip: When you get to this point you should also be finishing the crunch at the same time. Slowly start to inhale as you return to the starting position. Repeat for the recommended amount of repetitions.",
Hack Squat,quadriceps,"calves, glutes, hamstrings",machine,beginner,push,strength,compound,"Hack Squat is a beginner level strength exercise targeting the quadriceps. It involves a push motion and is considered a compound movement. Equipment needed: machine. Secondary muscles worked: calves, glutes, hamstrings. Instructions: Place the back of your torso against the back pad of the machine and hook your shoulders under the shoulder pads provided. Position your legs in the platform using a shoulder width medium stance with the toes slightly pointed out. Tip: Keep your head up at all times and also maintain the back on the pad at all times. Place your arms on the side handles of the machine and disengage the safety bars (which on most designs is done by moving the side handles from a facing front position to a diagonal position). Now straighten your legs without locking the knees. This will be your starting position. (Note: For the purposes of this discussion we will use the medium stance described above which targets overall development; however you can choose any of the three stances described in the foot positioning section). Begin to slowly lower the unit by bending the knees as you maintain a straight posture with the head up (back on the pad at all times). Continue down until the angle between the upper leg and the calves becomes slightly less than 90-degrees (which is the point in which the upper legs are below parallel to the floor). Inhale as you perform this portion of the movement. Tip: If you performed the exercise correctly, the front of the knees should make an imaginary straight line with the toes that is perpendicular to the front. If your knees are past that imaginary line (if they are past your toes) then you are placing undue stress on the knee and the exercise has been performed incorrectly. Begin to raise the unit as you exhale by pushing the floor with mainly with the heel of your foot as you straighten the legs again and go back to the starting position. Repeat for the recommended amount of repetitions.",
Hammer Grip Incline DB Bench Press,chest,"shoulders, triceps",dumbbell,beginner,push,strength,compound,"Hammer Grip Incline DB Bench Press is a beginner level strength exercise targeting the chest. It involves a push motion and is considered a compound movement. Equipment needed: dumbbell. Secondary muscles worked: shoulders, triceps. Instructions: Lie back on an incline bench with a dumbbell on each hand on top of your thighs. The palms of your hand will be facing each other. By using your thighs to help you get the dumbbells up, clean the dumbbells one arm at a time so that you can hold them at shoulder width. Once at shoulder width, keep the palms of your hands with a neutral grip (palms facing each other). Keep your elbows flared out with the upper arms in line with the shoulders (perpendicular to the torso) and the elbows bent creating a 90-degree angle between the upper arm and the forearm. This will be your starting position. Now bring down the weights slowly to your side as you breathe in. Keep full control of the dumbbells at all times. As you breathe out, push the dumbbells up using your pectoral muscles. Lock your arms in the contracted position, hold for a second and then start coming down slowly. Tip: It should take at least twice as long to go down than to come up. Repeat the movement for the prescribed amount of repetitions. When you are done, place the dumbbells back in your thighs and then on the floor. This is the safest manner to dispose of the dumbbells.",
Handstand Push-Ups,shoulders,triceps,body only,expert,push,strength,compound,"Handstand Push-Ups is a expert level strength exercise targeting the shoulders. It involves a push motion and is considered a compound movement. Equipment needed: body only. Secondary muscles worked: triceps. Instructions: With your back to the wall bend at the waist and place both hands on the floor at shoulder width. Kick yourself up against the wall with your arms straight. Your body should be upside down with the arms and legs fully extended. Keep your whole body as straight as possible. Tip: If doing this for the first time, have a spotter help you. Also, make sure that you keep facing the wall with your head, rather than looking down. Slowly lower yourself to the ground as you inhale until your head almost touches the floor. Tip: It is of utmost importance that you come down slow in order to avoid head injury. Push yourself back up slowly as you exhale until your elbows are nearly locked. Repeat for the recommended amount of repetitions.",
Hang Clean,quadriceps,"calves, forearms, glutes, hamstrings, lower back, shoulders, traps",barbell,intermediate,pull,olympic weightlifting,compound,"Hang Clean is a intermediate level olympic weightlifting exercise targeting the quadriceps. It involves a pull motion and is considered a compound movement. Equipment needed: barbell. Secondary muscles worked: calves, forearms, glutes, hamstrings, lower back, shoulders, traps. Instructions: Begin with a shoulder width, double overhand or hook grip, with the bar hanging at the mid thigh position. Your back should be straight and inclined slightly forward. Begin by aggressively extending through the hips, knees and ankles, driving the weight upward. As you do so, shrug your shoulders towards your ears. Immediately recover by driving through the heels, keeping the torso upright and elbows up. Continue until you have risen to a standing position.",
Hang Clean - Below the Knees,quadriceps,"calves, forearms, glutes, hamstrings, lower back, shoulders, traps",barbell,intermediate,pull,olympic weightlifting,compound,"Hang Clean - Below the Knees is a intermediate level olympic weightlifting exercise targeting the quadriceps. It involves a pull motion and is considered a compound movement. Equipment needed: barbell. Secondary muscles worked: calves, forearms, glutes, hamstrings, lower back, shoulders, traps. Instructions: Begin with a shoulder width, double overhand or hook grip, with the bar hanging just below the knees. Your back should be straight and inclined slightly forward. Begin by aggressively extending through the hips, knees and ankles, driving the weight upward. As you do so, shrug your shoulders towards your ears. As full extension is achieved, transition into the third pull by aggressively shrugging and flexing the arms with the elbows up and out. At peak extension, aggressively pull yourself down, rotating your elbows under the bar as you do so. Receive the bar in a front squat position, the depth of which is dependent upon the height of the bar at the end of the third pull. The bar should be racked onto the protracted shoulders, lightly touching the throat with the hands relaxed. Continue to descend to the bottom squat position, which will help in the recovery. Immediately recover by driving through the heels, keeping the torso upright and elbows up. Continue until you have risen to a standing position.",
Hang Snatch,hamstrings,"abdominals, calves, forearms, glutes, lower back, quadriceps, shoulders, traps",barbell,expert,pull,olympic weightlifting,compound,"Hang Snatch is a expert level olympic weightlifting exercise targeting the hamstrings. It involves a pull motion and is considered a compound movement. Equipment needed: barbell. Secondary muscles worked: abdominals, calves, forearms, glutes, lower back, quadriceps, shoulders, traps. Instructions: Begin with a wide grip on the bar, with an overhand or hook grip. The feet should be directly below the hips with the feet turned out. Your knees should be slightly bent, and the torso inclined forward. The spine should be fully extended and the head facing forward. The bar should be at the hips. This will be your starting position. Aggressively extend through the legs and hips. At peak extension, shrug the shoulders and allow the elbows to flex to the side. As you move your feet into the receiving position, forcefully pull yourself below the bar as you elevate the bar overhead. Receive the bar with your body as low as possible and the arms fully extended overhead. Return to a standing position with the weight overhead. Follow by returning the weight to the ground under control.",
Hang Snatch - Below Knees,hamstrings,"abdominals, calves, forearms, glutes, lower back, quadriceps, shoulders, traps",barbell,expert,pull,olympic weightlifting,compound,"Hang Snatch - Below Knees is a expert level olympic weightlifting exercise targeting the hamstrings. It involves a pull motion and is considered a compound movement. Equipment needed: barbell. Secondary muscles worked: abdominals, calves, forearms, glutes, lower back, quadriceps, shoulders, traps. Instructions: Begin with a wide grip on the bar, with an overhand or hook grip. The feet should be directly below the hips with the feet turned out. Your knees should be slightly bent, and the torso inclined forward. The spine should be fully extended and the head facing forward. The bar should be just below the knees. This will be your starting position. Aggressively extend through the legs and hips. At peak extension, shrug the shoulders and allow the elbows to flex to the side. As you move your feet into the receiving position, forcefully pull yourself below the bar as you elevate the bar overhead. Receive the bar with your body as low as possible and the arms fully extended overhead. Return to a standing position with the weight overhead, and then return the weight to the floor under control.",
Hanging Bar Good Morning,hamstrings,"abdominals, glutes, lower back",barbell,intermediate,push,powerlifting,compound,"Hanging Bar Good Morning is a intermediate level powerlifting exercise targeting the hamstrings. It involves a push motion and is considered a compound movement. Equipment needed: barbell. Secondary muscles worked: abdominals, glutes, lower back. Instructions: Begin with a bar on a rack at about the same height as your stomach. Suspend the bar using chains or suspension straps. Bend over underneath the bar and rack the bar across the rear of your shoulders as you would a power squat, not on top of your traps. At the proper height, you should be near parallel to the floor when bent over. Keep your back tight, shoulder blades pinched together, and your knees slightly bent. Keep your back arched and your cervical spine in proper alignment. Begin the motion by extending through the hips with your glutes and hamstrings, and you are standing with the weight. Slowly lower the weight back to the starting position, where it is supported by the chains.",
Heaving Snatch Balance,quadriceps,"abdominals, forearms, glutes, hamstrings, shoulders, triceps",barbell,intermediate,push,olympic weightlifting,compound,"Heaving Snatch Balance is a intermediate level olympic weightlifting exercise targeting the quadriceps. It involves a push motion and is considered a compound movement. Equipment needed: barbell. Secondary muscles worked: abdominals, forearms, glutes, hamstrings, shoulders, triceps. Instructions: This drill helps you learn the snatch. Begin by holding a light weight across the back of the shoulders. Your feet should be slightly wider than hip width apart with the feet turned out, the same position that you would perform a squat with. Begin by dipping with the knees slightly, and popping back up to briefly unload the bar. Drive yourself underneath the bar, elevating it overhead as you descend into a full squat. Return to a standing position.",
Heavy Bag Thrust,chest,"abdominals, shoulders, triceps",other,beginner,push,plyometrics,compound,"Heavy Bag Thrust is a beginner level plyometrics exercise targeting the chest. It involves a push motion and is considered a compound movement. Equipment needed: other. Secondary muscles worked: abdominals, shoulders, triceps. Instructions: Utilize a heavy bag for this exercise. Assume an upright stance next to the bag, with your feet staggered, fairly wide apart. Place your hand on the bag at about chest height. This will be your starting position. Begin by twisting at the waist, pushing the bag forward as hard as possible. Perform this move quickly, pushing the bag away from your body. Receive the bag as it swings back by reversing these steps.",
Hip Circles (prone),abductors,adductors,body only,beginner,pull,stretching,isolation,"Hip Circles (prone) is a beginner level stretching exercise targeting the abductors. It involves a pull motion and is considered a isolation movement. Equipment needed: body only. Secondary muscles worked: adductors. Instructions: Position yourself on your hands and knees on the ground. Maintaining good posture, raise one bent knee off of the ground. This will be your starting position. Keeping the knee in a bent position, rotate the femur in an arc, attempting to make a big circle with your knee. Perform this slowly for a number of repetitions, and repeat on the other side.",
Hip Extension with Bands,glutes,hamstrings,bands,beginner,push,strength,compound,"Hip Extension with Bands is a beginner level strength exercise targeting the glutes. It involves a push motion and is considered a compound movement. Equipment needed: bands. Secondary muscles worked: hamstrings. Instructions: Secure one end of the band to the lower portion of a post and attach the other to one ankle. Facing the attachment point of the band, hold on to the column to stabilize yourself. Keeping your head and your chest up, move the resisted leg back as far as you can while keeping the knee straight. Return the leg to the starting position.",
Hip Lift with Band,glutes,"calves, hamstrings",bands,beginner,push,powerlifting,compound,"Hip Lift with Band is a beginner level powerlifting exercise targeting the glutes. It involves a push motion and is considered a compound movement. Equipment needed: bands. Secondary muscles worked: calves, hamstrings. Instructions: After choosing a suitable band, lay down in the middle of the rack, after securing the band on either side of you. If your rack doesn't have pegs, the band can be secured using heavy dumbbells or similar objects, just ensure they won't move. Adjust your position so that the band is directly over your hips. Bend your knees and place your feet flat on the floor. Your hands can be on the floor or holding the band in position. Keeping your shoulders on the ground, drive through your heels to raise your hips, pushing into the band as high as you can. Pause at the top of the motion, and return to the starting position.",
Hug A Ball,lower back,"calves, glutes",exercise ball,beginner,static,stretching,isolation,"Hug A Ball is a beginner level stretching exercise targeting the lower back. It involves a static motion and is considered a isolation movement. Equipment needed: exercise ball. Secondary muscles worked: calves, glutes. Instructions: Seat yourself on the floor. Straddle an exercise ball between both legs and lower your hips down toward the floor. Hug your arms around the ball to support your body. Adjust your legs so that your feet are flat on the floor and your knees line up over your ankles. Keep a good grip on the ball so it doesn't roll away from you and send you back onto your buttocks.",
Hurdle Hops,hamstrings,"abductors, adductors, calves, glutes, hamstrings",other,beginner,push,plyometrics,compound,"Hurdle Hops is a beginner level plyometrics exercise targeting the hamstrings. It involves a push motion and is considered a compound movement. Equipment needed: other. Secondary muscles worked: abductors, adductors, calves, glutes, hamstrings. Instructions: Set up a row of hurdles or other small barriers, placing them a few feet apart. Stand in front of the first hurdle with your feet shoulder width apart. This will be your starting position. Begin by jumping with both feet over the first hurdle, swinging both arms as you jump. Absorb the impact of landing by bending the knees, rebounding out of the first leap by jumping over the next hurdle. Continue until you have jumped over all of the hurdles.",
Hyperextensions (Back Extensions),lower back,"glutes, hamstrings",other,beginner,pull,strength,isolation,"Hyperextensions (Back Extensions) is a beginner level strength exercise targeting the lower back. It involves a pull motion and is considered a isolation movement. Equipment needed: other. Secondary muscles worked: glutes, hamstrings. Instructions: Lie face down on a hyperextension bench, tucking your ankles securely under the footpads. Adjust the upper pad if possible so your upper thighs lie flat across the wide pad, leaving enough room for you to bend at the waist without any restriction. With your body straight, cross your arms in front of you (my preference) or behind your head. This will be your starting position. Tip: You can also hold a weight plate for extra resistance in front of you under your crossed arms. Start bending forward slowly at the waist as far as you can while keeping your back flat. Inhale as you perform this movement. Keep moving forward until you feel a nice stretch on the hamstrings and you can no longer keep going without a rounding of the back. Tip: Never round the back as you perform this exercise. Also, some people can go farther than others. The key thing is that you go as far as your body allows you to without rounding the back. Slowly raise your torso back to the initial position as you inhale. Tip: Avoid the temptation to arch your back past a straight line. Also, do not swing the torso at any time in order to protect the back from injury. Repeat for the recommended amount of repetitions.",
Hyperextensions With No Hyperextension Bench,lower back,"glutes, hamstrings",body only,intermediate,pull,strength,compound,"Hyperextensions With No Hyperextension Bench is a intermediate level strength exercise targeting the lower back. It involves a pull motion and is considered a compound movement. Equipment needed: body only. Secondary muscles worked: glutes, hamstrings. Instructions: With someone holding down your legs, slide yourself down to the edge a flat bench until your hips hang off the end of the bench. Tip: Your entire upper body should be hanging down towards the floor. Also, you will be in the same position as if you were on a hyperextension bench but the range of motion will be shorter due to the height of the flat bench vs. that of the hyperextension bench. With your body straight, cross your arms in front of you (my preference) or behind your head. This will be your starting position. Tip: You can also hold a weight plate for extra resistance in front of you under your crossed arms. Start bending forward slowly at the waist as far as you can while keeping your back flat. Inhale as you perform this movement. Keep moving forward until you almost touch the floor or you feel a nice stretch on the hamstrings (whichever comes first). Tip: Never round the back as you perform this exercise. Slowly raise your torso back to the initial position as you exhale. Tip: Avoid the temptation to arch your back past a straight line. Also, do not swing the torso at any time in order to protect the back from injury. Repeat for the recommended amount of repetitions.",
Incline Barbell Triceps Extension,triceps,forearms,barbell,intermediate,push,strength,isolation,Incline Barbell Triceps Extension is a intermediate level strength exercise targeting the triceps. It involves a push motion and is considered a isolation movement. Equipment needed: barbell. Secondary muscles worked: forearms. Instructions: Hold a barbell with an overhand grip (palms down) that is a little closer together than shoulder width. Lie back on an incline bench set at any angle between 45-75-degrees. Bring the bar overhead with your arms extended and elbows in. The arms should be in line with the torso above the head. This will be your starting position. Now lower the bar in a semicircular motion behind your head until your forearms touch your biceps. Inhale as you perform this movement. Tip: Keep your upper arms stationary and close to your head at all times. Only the forearms should move. Return to the starting position as you breathe out and you contract the triceps. Hold the contraction for a second. Repeat for the recommended amount of repetitions.,
Incline Bench Pull,middle back,"lats, shoulders",barbell,beginner,pull,strength,isolation,"Incline Bench Pull is a beginner level strength exercise targeting the middle back. It involves a pull motion and is considered a isolation movement. Equipment needed: barbell. Secondary muscles worked: lats, shoulders. Instructions: Grab a dumbbell in each hand and lie face down on an incline bench that is set to an incline that is approximately 30 degrees. Let the arms hang to your sides fully extended as they point to the floor. Turn the wrists until your hands have a pronated (palms down) grip. Now flare the elbows out. This will be your starting position. As you breathe out, start to pull the dumbbells up as if you are doing a reverse bench press. You will do this by bending at the elbows and bringing the upper arms up as you let the forearms hang. Continue this motion until the upper arms are at the same level as your back. Tip: The elbows will come out to the side and your upper arms and torso should make the letter ""T"" at the top of the movement. Hold the contraction at the top for a second. Slowly go back down to the starting position as you breathe in. Repeat for the recommended amount of repetitions.",
Incline Cable Chest Press,chest,"shoulders, triceps",cable,beginner,push,strength,compound,"Incline Cable Chest Press is a beginner level strength exercise targeting the chest. It involves a push motion and is considered a compound movement. Equipment needed: cable. Secondary muscles worked: shoulders, triceps. Instructions: Adjust the weight to an appropriate amount and be seated, grasping the handles. Your upper arms should be about 45 degrees to the body, with your head and chest up. The elbows should be bent to about 90 degrees. This will be your starting position. Begin by extending through the elbow, pressing the handles together straight in front of you. Keep your shoulder blades retracted as you execute the movement. After pausing at full extension, return to the starting position, keeping tension on the cables.",
Incline Cable Flye,chest,shoulders,cable,intermediate,push,strength,isolation,"Incline Cable Flye is a intermediate level strength exercise targeting the chest. It involves a push motion and is considered a isolation movement. Equipment needed: cable. Secondary muscles worked: shoulders. Instructions: To get yourself into the starting position, set the pulleys at the floor level (lowest level possible on the machine that is below your torso). Place an incline bench (set at 45 degrees) in between the pulleys, select a weight on each one and grab a pulley on each hand. With a handle on each hand, lie on the incline bench and bring your hands together at arms length in front of your face. This will be your starting position. With a slight bend of your elbows (in order to prevent stress at the biceps tendon), lower your arms out at both sides in a wide arc until you feel a stretch on your chest. Breathe in as you perform this portion of the movement. Tip: Keep in mind that throughout the movement, the arms should remain stationary. The movement should only occur at the shoulder joint. Return your arms back to the starting position as you squeeze your chest muscles and exhale. Hold the contracted position for a second. Tip: Make sure to use the same arc of motion used to lower the weights. Repeat the movement for the prescribed amount of repetitions.",
Incline Dumbbell Bench With Palms Facing In,chest,"shoulders, triceps",dumbbell,beginner,push,strength,compound,"Incline Dumbbell Bench With Palms Facing In is a beginner level strength exercise targeting the chest. It involves a push motion and is considered a compound movement. Equipment needed: dumbbell. Secondary muscles worked: shoulders, triceps. Instructions: Lie back on an incline bench with a dumbbell on each hand on top of your thighs. The palms of your hand will be facing each other. By using your thighs to help you get the dumbbells up, clean the dumbbells one arm at a time so that you can hold them at shoulder width. Once at shoulder width, keep the palms of your hands with a neutral grip (palms facing each other). Keep your elbows flared out with the upper arms in line with the shoulders (perpendicular to the torso) and the elbows bent creating a 90-degree angle between the upper arm and the forearm. This will be your starting position. Now bring down the weights slowly to your side as you breathe in. Keep full control of the dumbbells at all times. As you breathe out, push the dumbbells up using your pectoral muscles. Lock your arms in the contracted position, hold for a second and then start coming down slowly. Tip: It should take at least twice as long to go down than to come up. Repeat the movement for the prescribed amount of repetitions. When you are done, place the dumbbells back in your thighs and then on the floor. This is the safest manner to dispose of the dumbbells.",
Incline Dumbbell Flyes,chest,shoulders,dumbbell,beginner,push,strength,compound,"Incline Dumbbell Flyes is a beginner level strength exercise targeting the chest. It involves a push motion and is considered a compound movement. Equipment needed: dumbbell. Secondary muscles worked: shoulders. Instructions: Hold a dumbbell on each hand and lie on an incline bench that is set to an incline angle of no more than 30 degrees. Extend your arms above you with a slight bend at the elbows. Now rotate the wrists so that the palms of your hands are facing you. Tip: The pinky fingers should be next to each other. This will be your starting position. As you breathe in, start to slowly lower the arms to the side while keeping the arms extended and while rotating the wrists until the palms of the hand are facing each other. Tip: At the end of the movement the arms will be by your side with the palms facing the ceiling. As you exhale start to bring the dumbbells back up to the starting position by reversing the motion and rotating the hands so that the pinky fingers are next to each other again. Tip: Keep in mind that the movement will only happen at the shoulder joint and at the wrist. There is no motion that happens at the elbow joint. Repeat for the recommended amount of repetitions.",
