,exercise_name,category,primary_muscles,secondary_muscles,equipment,mechanic,force,level,source_url,source,text_chunk
435,fast skipping,plyometrics,quadriceps,"abductors, adductors, calves, glutes, hamstrings",body only,compound,push,beginner,No URL provided,api,"Fast Skipping is a beginner level plyometrics exercise targeting the quadriceps. It involves a push motion and is considered a compound movement. Equipment needed: body only. Secondary muscles worked: abductors, adductors, calves, glutes, hamstrings. Instructions: Start in a relaxed position with one leg slightly forward. This will be your starting position. Skip by executing a step-hop pattern of right-right-step to left-left-step, and so on, alternating back and forth. Perform fast skips by maintaining close contact with the ground and reduce air time, moving as quickly as possible."
436,finger curls,strength,forearms,"brachialis, brachioradialis",dumbbell,isolation,pull,beginner,No URL provided,api,"finger curls is a beginner level strength exercise targeting the forearms. It involves a pull motion and is considered a isolation movement. Equipment needed: dumbbell. Secondary muscles worked: brachialis, brachioradialis. Instructions: "
437,fixed bar back stretch,Back,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,https://exrx.net/Stretches/BackGeneral/FixedBar,exrx_scraper,Comments: None
438,fixed bar rhomboids stretch,Back,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,https://exrx.net/Stretches/Rhomboids/FixedBar,exrx_scraper,Comments: None
439,flat bench cable flyes,strength,chest,"shoulders, triceps",cable,isolation,push,intermediate,No URL provided,api,"flat bench cable flyes is a intermediate level strength exercise targeting the chest. It involves a push motion and is considered a isolation movement. Equipment needed: cable. Secondary muscles worked: shoulders, triceps. Instructions: "
440,flat bench leg pull-in,strength,abdominals,hip flexors,bodyweight,isolation,pull,beginner,No URL provided,api,flat bench leg pull-in is a beginner level strength exercise targeting the abdominals. It involves a pull motion and is considered a isolation movement. Equipment needed: bodyweight. Secondary muscles worked: hip flexors. Instructions: 
441,flat bench lying leg raise,strength,abdominals,hip flexors,flat bench,isolation,pull,beginner,No URL provided,api,flat bench lying leg raise is a beginner level strength exercise targeting the abdominals. It involves a pull motion and is considered a isolation movement. Equipment needed: flat bench. Secondary muscles worked: hip flexors. Instructions: 
442,flexor incline dumbbell curls,strength,biceps,"brachialis, brachioradialis",dumbbell,isolation,pull,beginner,No URL provided,api,"flexor incline dumbbell curls is a beginner level strength exercise targeting the biceps. It involves a pull motion and is considered a isolation movement. Equipment needed: dumbbell. Secondary muscles worked: brachialis, brachioradialis. Instructions: "
443,floor board bent knee calf stretch,Calves,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,https://exrx.net/Stretches/Soleus/FloorBoard,exrx_scraper,Comments: Keep knee of stretched leg bent.
444,floor board straight leg calf stretch,Calves,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,https://exrx.net/Stretches/Gastrocnemius/FloorBoard,exrx_scraper,Comments: None.
445,floor glute-ham raise,strength,hamstrings,"calves, glutes",bodyweight,isolation,pull,intermediate,No URL provided,api,"floor glute-ham raise is a intermediate level strength exercise targeting the hamstrings. It involves a pull motion and is considered a isolation movement. Equipment needed: bodyweight. Secondary muscles worked: calves, glutes. Instructions: "
446,floor press,powerlifting,triceps,"chest, shoulders",barbell,compound,push,intermediate,No URL provided,api,"Floor Press is a intermediate level powerlifting exercise targeting the triceps. It involves a push motion and is considered a compound movement. Equipment needed: barbell. Secondary muscles worked: chest, shoulders. Instructions: Adjust the j-hooks so they are at the appropriate height to rack the bar. Begin lying on the floor with your head near the end of a power rack. Keeping your shoulder blades pulled together; pull the bar off of the hooks. Lower the bar towards the bottom of your chest or upper stomach, squeezing the bar and attempting to pull it apart as you do so. Ensure that you tuck your elbows throughout the movement. Lower the bar until your upper arm contacts the ground and pause, preventing any slamming or bouncing of the weight. Press the bar back up as fast as you can, keeping the bar, your wrists, and elbows in line as you do so."
447,floor press with chains,powerlifting,triceps,"chest, shoulders",barbell,compound,push,intermediate,No URL provided,api,"Floor Press with Chains is a intermediate level powerlifting exercise targeting the triceps. It involves a push motion and is considered a compound movement. Equipment needed: barbell. Secondary muscles worked: chest, shoulders. Instructions: Adjust the j-hooks so they are at the appropriate height to rack the bar. For this exercise, drape the chains directly over the end of the bar, trying to keep the ends away from the plates. Begin lying on the floor with your head near the end of a power rack. Keeping your shoulder blades pulled together, pull the bar off of the hooks. Lower the bar towards the bottom of your chest or upper stomach, squeezing the bar and attempting to pull it apart as you do so. Ensure that you tuck your elbows throughout the movement. Lower the bar until your upper arm contacts the ground and pause, preventing any slamming or bouncing of the weight. Press the bar back up as fast as you can, keeping the bar, your wrists, and elbows in line as you do so."
448,flutter kicks,strength,glutes,hamstrings,body only,compound,pull,beginner,No URL provided,api,"Flutter Kicks is a beginner level strength exercise targeting the glutes. It involves a pull motion and is considered a compound movement. Equipment needed: body only. Secondary muscles worked: hamstrings. Instructions: On a flat bench lie facedown with the hips on the edge of the bench, the legs straight with toes high off the floor and with the arms on top of the bench holding on to the front edge. Squeeze your glutes and hamstrings and straighten the legs until they are level with the hips. This will be your starting position. Start the movement by lifting the left leg higher than the right leg. Then lower the left leg as you lift the right leg. Continue alternating in this manner (as though you are doing a flutter kick in water) until you have done the recommended amount of repetitions for each leg. Make sure that you keep a controlled movement at all times. Tip: You will breathe normally as you perform this movement."
449,foot-smr,stretching,calves,foot muscles,"bodyweight, other",isolation,static,intermediate,No URL provided,api,"foot-smr is a intermediate level stretching exercise targeting the calves. It involves a static motion and is considered a isolation movement. Equipment needed: bodyweight, other. Secondary muscles worked: foot muscles. Instructions: "
450,forward drag with press,strongman,chest,"calves, glutes, hamstrings, quadriceps, shoulders, triceps",other,compound,push,intermediate,No URL provided,api,"Forward Drag with Press is a intermediate level strongman exercise targeting the chest. It involves a push motion and is considered a compound movement. Equipment needed: other. Secondary muscles worked: calves, glutes, hamstrings, quadriceps, shoulders, triceps. Instructions: Attach a dual handled chain or rope attachment to the sled. You should be facing away from the sled, holding a handle in each hand. Begin the movement by moving forward for one step. Leaning forward, extend through the legs and hips to move, pausing with each step to extend through the elbows, pressing your hands forward. Step forward until you return to the start position prepared to press."
451,frankenstein squat,olympic weightlifting,quadriceps,"abdominals, calves, glutes, hamstrings",barbell,compound,push,intermediate,No URL provided,api,"Frankenstein Squat is a intermediate level olympic weightlifting exercise targeting the quadriceps. It involves a push motion and is considered a compound movement. Equipment needed: barbell. Secondary muscles worked: abdominals, calves, glutes, hamstrings. Instructions: This drill teaches you the proper positioning of both the bar and your body during the clean and front squat. Place the barbell on the front of the shoulders, releasing your grip and extending your arms out in front of you. The shoulders should be pushed forward to create a shelf, and the bar should be in contact with the throat. Ensure that you only move your shoulder blades forward; don't round the thoracic spine. Squat by flexing the knees and hips, sitting in between your legs. Keep the torso upright, the arms up, and the shoulders forward, and the bar should stay in place. Go to the bottom of the squat, until your hamstrings contact your calves. Return to the upright position by driving through the front of the heel and extending the knees and hips."
452,freehand jump squat,strength,quadriceps,"calves, glutes, hamstrings",body only,compound,push,intermediate,No URL provided,api,"Freehand Jump Squat is a intermediate level strength exercise targeting the quadriceps. It involves a push motion and is considered a compound movement. Equipment needed: body only. Secondary muscles worked: calves, glutes, hamstrings. Instructions: Cross your arms over your chest. With your head up and your back straight, position your feet at shoulder width. Keeping your back straight and chest up, squat down as you inhale until your upper thighs are parallel, or lower, to the floor. Now pressing mainly with the ball of your feet, jump straight up in the air as high as possible, using the thighs like springs. Exhale during this portion of the movement. When you touch the floor again, immediately squat down and jump again. Repeat for the recommended amount of repetitions."
453,frog hops,plyometrics,quadriceps,"calves, glutes, hamstrings",bodyweight,compound,push,intermediate,No URL provided,api,"frog hops is a intermediate level plyometrics exercise targeting the quadriceps. It involves a push motion and is considered a compound movement. Equipment needed: bodyweight. Secondary muscles worked: calves, glutes, hamstrings. Instructions: "
454,frog sit-ups,strength,abdominals,hip flexors,bodyweight,isolation,pull,intermediate,No URL provided,api,frog sit-ups is a intermediate level strength exercise targeting the abdominals. It involves a pull motion and is considered a isolation movement. Equipment needed: bodyweight. Secondary muscles worked: hip flexors. Instructions: 
455,front barbell squat,Hips,quadriceps,"calves, glutes, hamstrings",barbell,Compound,Push,expert,https://exrx.net/WeightExercises/GluteusMaximus/BBFrontSquat,exrx_scraper + api,"Utility: Auxiliary. Comments: Keep head facing forward, back straight and feet flat on floor with equal distribution of weight through forefoot and heel. Knees should point same direction as feet throughout movement. See Squat Analysis. Also see weightlifting style Front Squat.

--- Additional Info ---

Utility: Basic or Auxiliary. Comments: Keep head facing forward, back straight, chest high, and feet flat on floor with equal distribution of weight through forefoot and heel. Knees should point same direction as feet throughout movement. See Squat Analysis. Also see Kettlebell Front Squat.

--- Additional Info ---

Front Barbell Squat is a expert level strength exercise targeting the quadriceps. It involves a push motion and is considered a compound movement. Equipment needed: barbell. Secondary muscles worked: calves, glutes, hamstrings. Instructions: This exercise is best performed inside a squat rack for safety purposes. To begin, first set the bar on a rack that best matches your height. Once the correct height is chosen and the bar is loaded, bring your arms up under the bar while keeping the elbows high and the upper arm slightly above parallel to the floor. Rest the bar on top of the deltoids and cross your arms while grasping the bar for total control. Lift the bar off the rack by first pushing with your legs and at the same time straightening your torso. Step away from the rack and position your legs using a shoulder width medium stance with the toes slightly pointed out. Keep your head up at all times as looking down will get you off balance and also maintain a straight back. This will be your starting position. (Note: For the purposes of this discussion we will use the medium stance described above which targets overall development; however you can choose any of the three stances described in the foot positioning section). Begin to slowly lower the bar by bending the knees as you maintain a straight posture with the head up. Continue down until the angle between the upper leg and the calves becomes slightly less than 90-degrees (which is the point in which the upper legs are below parallel to the floor). Inhale as you perform this portion of the movement. Tip: If you performed the exercise correctly, the front of the knees should make an imaginary straight line with the toes that is perpendicular to the front. If your knees are past that imaginary line (if they are past your toes) then you are placing undue stress on the knee and the exercise has been performed incorrectly. Begin to raise the bar as you exhale by pushing the floor mainly with the middle of your foot as you straighten the legs again and go back to the starting position. Repeat for the recommended amount of repetitions."
456,front barbell squat to a bench,strength,quadriceps,"calves, glutes, hamstrings",barbell,compound,push,expert,No URL provided,api,"Front Barbell Squat To A Bench is a expert level strength exercise targeting the quadriceps. It involves a push motion and is considered a compound movement. Equipment needed: barbell. Secondary muscles worked: calves, glutes, hamstrings. Instructions: This exercise is best performed inside a squat rack for safety purposes. To begin, first set a flat bench behind you and set the bar on a rack that best matches your height. Once the correct height is chosen and the bar is loaded, bring your arms up under the bar while keeping the elbows high and the upper arm slightly above parallel to the floor. Rest the bar on top of the deltoids and cross your arms while grasping the bar for total control. Lift the bar off the rack by first pushing with your legs and at the same time straightening your torso. Step away from the rack and position your legs using a shoulder width medium stance with the toes slightly pointed out. Keep your head up at all times as looking down will get you off balance and also maintain a straight back. This will be your starting position. (Note: For the purposes of this discussion we will use the medium stance described above which targets overall development; however you can choose any of the three stances described in the foot positioning section). Begin to slowly lower the bar by bending the knees as you maintain a straight posture with the head up. Continue down until you touch the bench with your glutes. Inhale as you perform this portion of the movement. Tip: If you performed the exercise correctly, the front of the knees should make an imaginary straight line with the toes that is perpendicular to the front. If your knees are past that imaginary line (if they are past your toes) then you are placing undue stress on the knee and the exercise has been performed incorrectly. Begin to raise the bar as you exhale by pushing the floor mainly with the heel of your foot as you straighten the legs again and go back to the starting position. Repeat for the recommended amount of repetitions."
457,front box jump,plyometrics,hamstrings,"abductors, adductors, calves, glutes, quadriceps",other,compound,push,beginner,No URL provided,api,"Front Box Jump is a beginner level plyometrics exercise targeting the hamstrings. It involves a push motion and is considered a compound movement. Equipment needed: other. Secondary muscles worked: abductors, adductors, calves, glutes, quadriceps. Instructions: Begin with a box of an appropriate height 1-2 feet in front of you. Stand with your feet should width apart. This will be your starting position. Perform a short squat in preparation for jumping, swinging your arms behind you. Rebound out of this position, extending through the hips, knees, and ankles to jump as high as possible. Swing your arms forward and up. Land on the box with the knees bent, absorbing the impact through the legs. You can jump from the box back to the ground, or preferably step down one leg at a time."
458,front cable raise,strength,shoulders,"trapezius, serratus anterior",cable,isolation,push,beginner,No URL provided,api,"front cable raise is a beginner level strength exercise targeting the shoulders. It involves a push motion and is considered a isolation movement. Equipment needed: cable. Secondary muscles worked: trapezius, serratus anterior. Instructions: "
459,front cone hops (or hurdle hops),plyometrics,quadriceps,"abductors, adductors, calves, glutes, hamstrings",other,compound,push,beginner,No URL provided,api,"Front Cone Hops (or hurdle hops) is a beginner level plyometrics exercise targeting the quadriceps. It involves a push motion and is considered a compound movement. Equipment needed: other. Secondary muscles worked: abductors, adductors, calves, glutes, hamstrings. Instructions: Set up a row of cones or other small barriers, placing them a few feet apart. Stand in front of the first cone with your feet shoulder width apart. This will be your starting position. Begin by jumping with both feet over the first cone, swinging both arms as you jump. Absorb the impact of landing by bending the knees, rebounding out of the first leap by jumping over the next cone. Continue until you have jumped over all of the cones."
460,front dumbbell raise,Shoulders,shoulders,"trapezius, serratus anterior",dumbbell,Isolated,Push,beginner,https://exrx.net/WeightExercises/DeltoidAnterior/BBFrontRaise,exrx_scraper + api,"Utility: Auxiliary. Comments: Height of movement may depend on range of motion. Raise should be limited to height achieved just before tightness is felt in shoulder capsule. Alternatively, height just above horizontal may be considered adequate. Elbows may be kept straight or slightly bent throughout movement.

--- Additional Info ---

Utility: Auxiliary. Comments: Height of movement may depend on range of motion. Raise should be limited to height achieved just before tightness is felt in shoulder capsule. Alternatively, height just above horizontal may be considered adequate. Elbows may be kept straight or slightly bent throughout movement. Also see Dumbbell Alternating Front Raise.

--- Additional Info ---

front dumbbell raise is a beginner level strength exercise targeting the shoulders. It involves a push motion and is considered a isolation movement. Equipment needed: dumbbell. Secondary muscles worked: trapezius, serratus anterior. Instructions: "
461,front incline dumbbell raise,strength,shoulders,"trapezius, serratus anterior","dumbbell, incline bench",isolation,push,beginner,No URL provided,api,"front incline dumbbell raise is a beginner level strength exercise targeting the shoulders. It involves a push motion and is considered a isolation movement. Equipment needed: dumbbell, incline bench. Secondary muscles worked: trapezius, serratus anterior. Instructions: "
462,front leg raises,isolation,hamstrings,core,bodyweight,concentric,pull,beginner,No URL provided,api,front leg raises is a beginner level isolation exercise targeting the hamstrings. It involves a pull motion and is considered a concentric movement. Equipment needed: bodyweight. Secondary muscles worked: core. Instructions: 
463,front plank,Waist,Not Specified,Not Specified,Not Specified,Isolated,Push,Not Specified,https://exrx.net/WeightExercises/RectusAbdominis/BWFrontPlank,exrx_scraper,"Utility: Auxiliary. Comments: Muscles are exercised isometrically. Exercise can also be performed with straight supporting arms in pushup stance. Also see Spot Reduction Myth. To make it easier: Movement can be made easier angling body up on elevated platform or bench. Exercise can also be performed on bent knees instead of forefeet.. To make it harder: Exercise could be made more challenging with added weight (eg: sandbags, partner) on hips or low back, although it is rarely performed in that manner. Raising one foot up off floor can also make holding this position more difficult. Stability Ball Rollout requires more shoulder strength.."
464,front plate raise,strength,shoulders,"trapezius, serratus anterior",plate,isolation,push,intermediate,No URL provided,api,"front plate raise is a intermediate level strength exercise targeting the shoulders. It involves a push motion and is considered a isolation movement. Equipment needed: plate. Secondary muscles worked: trapezius, serratus anterior. Instructions: "
465,front raise and pullover,strength,chest,"lats, shoulders, triceps",barbell,compound,pull,beginner,No URL provided,api,"Front Raise And Pullover is a beginner level strength exercise targeting the chest. It involves a pull motion and is considered a compound movement. Equipment needed: barbell. Secondary muscles worked: lats, shoulders, triceps. Instructions: Lie on a flat bench while holding a barbell using a palms down grip that is about 15 inches apart. Place the bar on your upper thighs, extend your arms and lock them while keeping a slight bend on the elbows. This will be your starting position. Now raise the weight using a semicircular motion and keeping your arms straight as you inhale. Continue the same movement until the bar is on the other side above your head . (Tip: the bar will travel approximately 180-degrees). At this point your arms should be parallel to the floor with the palms of your hands facing the ceiling. Now return the barbell to the starting position by reversing the motion as you exhale. Repeat for the recommended amount of repetitions."
466,front squat (clean grip),strength,quadriceps,"abdominals, glutes, hamstrings",barbell,compound,push,intermediate,No URL provided,api,"Front Squat (Clean Grip) is a intermediate level strength exercise targeting the quadriceps. It involves a push motion and is considered a compound movement. Equipment needed: barbell. Secondary muscles worked: abdominals, glutes, hamstrings. Instructions: To begin, first set the bar in a rack slightly below shoulder level. Rest the bar on top of the deltoids, pushing into the clavicles, and lightly touching the throat. Your hands should be in a clean grip, touching the bar only with your fingers to help keep it in position. Lift the bar off the rack by first pushing with your legs and at the same time straightening your torso. Step away from the rack and position your legs using a shoulder width medium stance with the toes slightly pointed out. Keep your head and elbows up at all times. This will be your starting position. Bend at the knees, sitting down between your legs. Continue down until your hamstrings are on your calves. Keep your knees aligned with your feet by consciously using your abductors to push your knees out as you squat. Begin to raise the bar as you exhale by pushing the floor mainly with the heel or middle of your foot as you straighten the legs again and return to the starting position."
467,front squat (weightlifting style),Olympic-style Weightlifts,Not Specified,Not Specified,Not Specified,Compound,Push,Not Specified,https://exrx.net/WeightExercises/OlympicLifts/FrontSquat,exrx_scraper,"Utility: Power. Comments: Front Squat is receiving position for Clean. Keep head forward, chin in, back straight and feet flat on floor; equal distribution of weight through forefoot and heel. See Squat Analysis. Also see bodybuilding style Front Squat. Optional: Accelerate when squatting up and slowing just before full extension."
468,front squats with two kettlebells,strength,quadriceps,"calves, glutes",kettlebells,compound,push,intermediate,No URL provided,api,"Front Squats With Two Kettlebells is a intermediate level strength exercise targeting the quadriceps. It involves a push motion and is considered a compound movement. Equipment needed: kettlebells. Secondary muscles worked: calves, glutes. Instructions: Clean two kettlebells to your shoulders. Clean the kettlebells to your shoulders by extending through the legs and hips as you pull the kettlebells towards your shoulders. Rotate your wrists as you do so. Looking straight ahead at all times, squat as low as you can and pause at the bottom. As you squat down, push your knees out. You should squat between your legs, keeping an upright torso, with your head and chest up. Rise back up by driving through your heels and repeat."
469,front two-dumbbell raise,strength,shoulders,"trapezius, serratus anterior",dumbbell,isolation,push,beginner,No URL provided,api,"front two-dumbbell raise is a beginner level strength exercise targeting the shoulders. It involves a push motion and is considered a isolation movement. Equipment needed: dumbbell. Secondary muscles worked: trapezius, serratus anterior. Instructions: "
470,full range-of-motion lat pulldown,strength,lats,"biceps, middle back, shoulders",cable,compound,pull,intermediate,No URL provided,api,"Full Range-Of-Motion Lat Pulldown is a intermediate level strength exercise targeting the lats. It involves a pull motion and is considered a compound movement. Equipment needed: cable. Secondary muscles worked: biceps, middle back, shoulders. Instructions: Either standing or seated on a high bench, grasp two stirrup cables that are attached to the high pulleys. Grab with the opposing hand so your arms are crisscrossed about you and your palms are facing forward. Keeping your chest up and maintaining a slight arch in your lower back, pull the handles down as if you were doing a regular pulldown. The range of motion will be more of an arc. During the movement, rotate your hands so that in the bottom position your palms face each other rather than forward. Return slowly to the starting position and repeat."
471,gironda sternum chins,strength,lats,"biceps, middle back",other,compound,pull,intermediate,No URL provided,api,"Gironda Sternum Chins is a intermediate level strength exercise targeting the lats. It involves a pull motion and is considered a compound movement. Equipment needed: other. Secondary muscles worked: biceps, middle back. Instructions: Grasp the pull-up bar with a shoulder width underhand grip. Now hang with your arms fully extended and stick your chest out and lean back. Tip: You will be leaning back throughout the entire movement. This will be your starting position. Start pulling yourself towards the bar with your spine arched throughout the movement and your head leaning back as far away from the bar as possible. Exhale as you perform this portion of the movement. Tip: At the upper end of the movement, your hips and legs will be at about a 45-degree angle to the floor. Keep pulling until your collarbone passes the bar and your lower chest or sternum area touches it. Hold that contraction for a second. Tip: By the time you've completed this portion of the movement; your head will be parallel to the floor. Slowly start going back to the starting position as you inhale. Repeat for the recommended amount of repetitions."
472,glute ham raise,powerlifting,hamstrings,"calves, glutes",machine,compound,pull,intermediate,No URL provided,api,"Glute Ham Raise is a intermediate level powerlifting exercise targeting the hamstrings. It involves a pull motion and is considered a compound movement. Equipment needed: machine. Secondary muscles worked: calves, glutes. Instructions: Begin by adjusting the equipment to fit your body. Place your feet against the footplate in between the rollers as you lie facedown. Your knees should be just behind the pad. Start from the bottom of the movement. Keep your back arched as you begin the movement by flexing the knees. Drive your toes into the foot plate as you do so. Keep your upper body straight, and continue until your body is upright. Return to the starting position, keeping your descent under control."
473,glute kickback,strength,glutes,hamstrings,body only,compound,push,beginner,No URL provided,api,"Glute Kickback is a beginner level strength exercise targeting the glutes. It involves a push motion and is considered a compound movement. Equipment needed: body only. Secondary muscles worked: hamstrings. Instructions: Kneel on the floor or an exercise mat and bend at the waist with your arms extended in front of you (perpendicular to the torso) in order to get into a kneeling push-up position but with the arms spaced at shoulder width. Your head should be looking forward and the bend of the knees should create a 90-degree angle between the hamstrings and the calves. This will be your starting position. As you exhale, lift up your right leg until the hamstrings are in line with the back while maintaining the 90-degree angle bend. Contract the glutes throughout this movement and hold the contraction at the top for a second. Tip: At the end of the movement the upper leg should be parallel to the floor while the calf should be perpendicular to it. Go back to the initial position as you inhale and now repeat with the left leg. Continue to alternate legs until all of the recommended repetitions have been performed."
474,glute-ham raise (hands behind hips),Thighs,Not Specified,Not Specified,Not Specified,Isolated,Pull,Not Specified,https://exrx.net/WeightExercises/Hamstrings/BWGluteHamRaiseHips,exrx_scraper,"Utility: Basic or Auxiliary. Comments: See Arm Position During Waist Exercises. To make it easier: Movement can be made easier by having partner assist in raise by pulling up on shoulders (from front) or chest (from side).. To make it harder: Exercise can be made more challenging by placing hands further up toward neck or head. Also consider performing Hamstring Raise.
• Glute-Ham Raise (hands on neck)
• Hamstring Raise."
475,glute-ham raise (hands behind neck),Thighs,Not Specified,Not Specified,Not Specified,Isolated,Pull,Not Specified,https://exrx.net/WeightExercises/Hamstrings/BWGluteHamRaiseHead,exrx_scraper,"Utility: Basic or Auxiliary. Comments: See Arm Position During Waist Exercises. To make it easier: Movement can be made easier by placing arms further down away from head.
• Glute-Ham Raise (hands behind hips). To make it harder: Exercise can be made more challenging by placing hands further up on head or beyond head. Exercise can also be performed with additional weight.
• Weighted Glute-Ham Raise
• Barbell Glute-Ham Raise
• Hamstring Raise."
476,goblet squat,strength,quadriceps,"calves, glutes, hamstrings, shoulders",kettlebells,compound,push,beginner,No URL provided,api,"Goblet Squat is a beginner level strength exercise targeting the quadriceps. It involves a push motion and is considered a compound movement. Equipment needed: kettlebells. Secondary muscles worked: calves, glutes, hamstrings, shoulders. Instructions: Stand holding a light kettlebell by the horns close to your chest. This will be your starting position. Squat down between your legs until your hamstrings are on your calves. Keep your chest and head up and your back straight. At the bottom position, pause and use your elbows to push your knees out. Return to the starting position, and repeat for 10-20 repetitions."
477,good morning,powerlifting,hamstrings,"abdominals, glutes, lower back",barbell,compound,push,intermediate,No URL provided,api,"Good Morning is a intermediate level powerlifting exercise targeting the hamstrings. It involves a push motion and is considered a compound movement. Equipment needed: barbell. Secondary muscles worked: abdominals, glutes, lower back. Instructions: Begin with a bar on a rack at shoulder height. Rack the bar across the rear of your shoulders as you would a power squat, not on top of your shoulders. Keep your back tight, shoulder blades pinched together, and your knees slightly bent. Step back from the rack. Begin by bending at the hips, moving them back as you bend over to near parallel. Keep your back arched and your cervical spine in proper alignment. Reverse the motion by extending through the hips with your glutes and hamstrings. Continue until you have returned to the starting position."
478,good morning off pins,powerlifting,hamstrings,"abdominals, glutes, lower back",barbell,compound,push,intermediate,No URL provided,api,"Good Morning off Pins is a intermediate level powerlifting exercise targeting the hamstrings. It involves a push motion and is considered a compound movement. Equipment needed: barbell. Secondary muscles worked: abdominals, glutes, lower back. Instructions: Begin with a bar on a rack at about the same height as your stomach. Bend over underneath the bar and rack the bar across the rear of your shoulders as you would a power squat, not on top of your shoulders. At the proper height, you should be near parallel to the floor when bent over. Keep your back tight, shoulder blades pinched together, and your knees slightly bent. Keep your back arched and your cervical spine in proper alignment. Begin the motion by extending through the hips with your glutes and hamstrings, and you are standing with the weight. Slowly lower the weight back to the pins returning to the starting position."
479,gorilla chin/crunch,strength,abdominals,"biceps, lats",body only,compound,pull,intermediate,No URL provided,api,"Gorilla Chin/Crunch is a intermediate level strength exercise targeting the abdominals. It involves a pull motion and is considered a compound movement. Equipment needed: body only. Secondary muscles worked: biceps, lats. Instructions: Hang from a chin-up bar using an underhand grip (palms facing you) that is slightly wider than shoulder width. Now bend your knees at a 90 degree angle so that the calves are parallel to the floor while the thighs remain perpendicular to it. This will be your starting position. As you exhale, pull yourself up while crunching your knees up at the same time until your knees are at chest level. You will stop going up as soon as your nose is at the same level as the bar. Tip: When you get to this point you should also be finishing the crunch at the same time. Slowly start to inhale as you return to the starting position. Repeat for the recommended amount of repetitions."
480,groin and back stretch,stretching,adductors,"erector spinae, latissimus dorsi",bodyweight,compound,static,intermediate,No URL provided,api,"groin and back stretch is a intermediate level stretching exercise targeting the adductors. It involves a static motion and is considered a compound movement. Equipment needed: bodyweight. Secondary muscles worked: erector spinae, latissimus dorsi. Instructions: "
481,groiners,plyometric,adductors,"legs, core",bodyweight,compound,pull,intermediate,No URL provided,api,"groiners is a intermediate level plyometric exercise targeting the adductors. It involves a pull motion and is considered a compound movement. Equipment needed: bodyweight. Secondary muscles worked: legs, core. Instructions: "
482,hack squat,strength,quadriceps,"calves, glutes, hamstrings",machine,compound,push,beginner,No URL provided,api,"Hack Squat is a beginner level strength exercise targeting the quadriceps. It involves a push motion and is considered a compound movement. Equipment needed: machine. Secondary muscles worked: calves, glutes, hamstrings. Instructions: Place the back of your torso against the back pad of the machine and hook your shoulders under the shoulder pads provided. Position your legs in the platform using a shoulder width medium stance with the toes slightly pointed out. Tip: Keep your head up at all times and also maintain the back on the pad at all times. Place your arms on the side handles of the machine and disengage the safety bars (which on most designs is done by moving the side handles from a facing front position to a diagonal position). Now straighten your legs without locking the knees. This will be your starting position. (Note: For the purposes of this discussion we will use the medium stance described above which targets overall development; however you can choose any of the three stances described in the foot positioning section). Begin to slowly lower the unit by bending the knees as you maintain a straight posture with the head up (back on the pad at all times). Continue down until the angle between the upper leg and the calves becomes slightly less than 90-degrees (which is the point in which the upper legs are below parallel to the floor). Inhale as you perform this portion of the movement. Tip: If you performed the exercise correctly, the front of the knees should make an imaginary straight line with the toes that is perpendicular to the front. If your knees are past that imaginary line (if they are past your toes) then you are placing undue stress on the knee and the exercise has been performed incorrectly. Begin to raise the unit as you exhale by pushing the floor with mainly with the heel of your foot as you straighten the legs again and go back to the starting position. Repeat for the recommended amount of repetitions."
483,hammer curls,strength,biceps,"brachialis, brachioradialis",dumbbell,isolation,pull,beginner,No URL provided,api,"hammer curls is a beginner level strength exercise targeting the biceps. It involves a pull motion and is considered a isolation movement. Equipment needed: dumbbell. Secondary muscles worked: brachialis, brachioradialis. Instructions: "
484,hammer grip incline db bench press,strength,chest,"shoulders, triceps",dumbbell,compound,push,beginner,No URL provided,api,"Hammer Grip Incline DB Bench Press is a beginner level strength exercise targeting the chest. It involves a push motion and is considered a compound movement. Equipment needed: dumbbell. Secondary muscles worked: shoulders, triceps. Instructions: Lie back on an incline bench with a dumbbell on each hand on top of your thighs. The palms of your hand will be facing each other. By using your thighs to help you get the dumbbells up, clean the dumbbells one arm at a time so that you can hold them at shoulder width. Once at shoulder width, keep the palms of your hands with a neutral grip (palms facing each other). Keep your elbows flared out with the upper arms in line with the shoulders (perpendicular to the torso) and the elbows bent creating a 90-degree angle between the upper arm and the forearm. This will be your starting position. Now bring down the weights slowly to your side as you breathe in. Keep full control of the dumbbells at all times. As you breathe out, push the dumbbells up using your pectoral muscles. Lock your arms in the contracted position, hold for a second and then start coming down slowly. Tip: It should take at least twice as long to go down than to come up. Repeat the movement for the prescribed amount of repetitions. When you are done, place the dumbbells back in your thighs and then on the floor. This is the safest manner to dispose of the dumbbells."
485,hamstring stretch,stretching,hamstrings,calves,bodyweight,isolation,static,beginner,No URL provided,api,hamstring stretch is a beginner level stretching exercise targeting the hamstrings. It involves a static motion and is considered a isolation movement. Equipment needed: bodyweight. Secondary muscles worked: calves. Instructions: 
