search_query,fdc_id,food_name,food_category,data_type,calories,protein_g,carbs_g,fat_g,fiber_g,sugar_g,saturated_fat_g,cholesterol_mg,sodium_mg,iron_mg,calcium_mg,potassium_mg,magnesium_mg,vitamin_c_mg,vitamin_b12_ug,text_chunk
"Macaroni, dry",168903,"Macaroni, vegetable, enriched, dry",Cereal Grains and Pasta,SR Legacy,367.0,13.1,74.9,1.04,4.3,0.0,0.15,0.0,43.0,4.28,34.0,285.0,46.0,0.0,0.0,"Food: Macaroni, vegetable, enriched, dry

        Per 100 grams:
        - Calories: 367.0 kcal
        - Protein: 13.1 g
        - Carbohydrates: 74.9 g
        - Fat: 1.04 g
        - Fiber: 4.3 g
        - Sugar: 0.0 g
        - Saturated Fat: 0.15 g
        - Cholesterol: 0.0 mg
        - Sodium: 43.0 mg
        - Iron: 4.28 mg
        - Calcium: 34.0 mg
        - Potassium: 285.0 mg
        - Magnesium: 46.0 mg
        - Vitamin C: 0.0 mg
        - Vitamin B12: 0.0 µg

        Category: Cereal Grains and Pasta
        Data Source Type: SR Legacy"
"Quinoa, raw",168917,"Quinoa, cooked",Cereal Grains and Pasta,SR Legacy,120.0,4.4,21.3,1.92,2.8,0.0,0.231,0.0,7.0,1.49,17.0,172.0,64.0,0.0,0.0,"Food: Quinoa, cooked

        Per 100 grams:
        - Calories: 120.0 kcal
        - Protein: 4.4 g
        - Carbohydrates: 21.3 g
        - Fat: 1.92 g
        - Fiber: 2.8 g
        - Sugar: 0.0 g
        - Saturated Fat: 0.231 g
        - Cholesterol: 0.0 mg
        - Sodium: 7.0 mg
        - Iron: 1.49 mg
        - Calcium: 17.0 mg
        - Potassium: 172.0 mg
        - Magnesium: 64.0 mg
        - Vitamin C: 0.0 mg
        - Vitamin B12: 0.0 µg

        Category: Cereal Grains and Pasta
        Data Source Type: SR Legacy"
"Bulgur, dry",170688,"Bulgur, dry",Cereal Grains and Pasta,SR Legacy,342.0,12.3,75.9,1.33,12.5,0.0,0.232,0.0,17.0,2.46,35.0,410.0,164.0,0.0,0.0,"Food: Bulgur, dry

        Per 100 grams:
        - Calories: 342.0 kcal
        - Protein: 12.3 g
        - Carbohydrates: 75.9 g
        - Fat: 1.33 g
        - Fiber: 12.5 g
        - Sugar: 0.0 g
        - Saturated Fat: 0.232 g
        - Cholesterol: 0.0 mg
        - Sodium: 17.0 mg
        - Iron: 2.46 mg
        - Calcium: 35.0 mg
        - Potassium: 410.0 mg
        - Magnesium: 164.0 mg
        - Vitamin C: 0.0 mg
        - Vitamin B12: 0.0 µg

        Category: Cereal Grains and Pasta
        Data Source Type: SR Legacy"
Tahini,168604,"Seeds, sesame butter, tahini, type of kernels unspecified",Nut and Seed Products,SR Legacy,592.0,17.4,21.5,53.0,4.7,0.0,7.42,0.0,35.0,4.42,141.0,459.0,95.0,4.2,0.0,"Food: Seeds, sesame butter, tahini, type of kernels unspecified

        Per 100 grams:
        - Calories: 592.0 kcal
        - Protein: 17.4 g
        - Carbohydrates: 21.5 g
        - Fat: 53.0 g
        - Fiber: 4.7 g
        - Sugar: 0.0 g
        - Saturated Fat: 7.42 g
        - Cholesterol: 0.0 mg
        - Sodium: 35.0 mg
        - Iron: 4.42 mg
        - Calcium: 141.0 mg
        - Potassium: 459.0 mg
        - Magnesium: 95.0 mg
        - Vitamin C: 4.2 mg
        - Vitamin B12: 0.0 µg

        Category: Nut and Seed Products
        Data Source Type: SR Legacy"
"Olive oil, extra virgin",748608,"Oil, olive, extra virgin",Fats and Oils,Foundation,0.0,0.0,0.0,0.0,0.0,0.0,15.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Food: Oil, olive, extra virgin

        Per 100 grams:
        - Calories: 0.0 kcal
        - Protein: 0.0 g
        - Carbohydrates: 0.0 g
        - Fat: 0.0 g
        - Fiber: 0.0 g
        - Sugar: 0.0 g
        - Saturated Fat: 15.4 g
        - Cholesterol: 0.0 mg
        - Sodium: 0.0 mg
        - Iron: 0.0 mg
        - Calcium: 0.0 mg
        - Potassium: 0.0 mg
        - Magnesium: 0.0 mg
        - Vitamin C: 0.0 mg
        - Vitamin B12: 0.0 µg

        Category: Fats and Oils
        Data Source Type: Foundation"
Ghee,171314,"Butter, Clarified butter (ghee)",Dairy and Egg Products,SR Legacy,900.0,0.0,0.0,100.0,0.0,0.0,60.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Food: Butter, Clarified butter (ghee)

        Per 100 grams:
        - Calories: 900.0 kcal
        - Protein: 0.0 g
        - Carbohydrates: 0.0 g
        - Fat: 100.0 g
        - Fiber: 0.0 g
        - Sugar: 0.0 g
        - Saturated Fat: 60.0 g
        - Cholesterol: 300.0 mg
        - Sodium: 0.0 mg
        - Iron: 0.0 mg
        - Calcium: 0.0 mg
        - Potassium: 0.0 mg
        - Magnesium: 0.0 mg
        - Vitamin C: 0.0 mg
        - Vitamin B12: 0.0 µg

        Category: Dairy and Egg Products
        Data Source Type: SR Legacy"
"Avocado, raw",171706,"Avocados, raw, California",Fruits and Fruit Juices,SR Legacy,167.0,1.96,8.64,15.4,6.8,0.0,2.13,0.0,8.0,0.61,13.0,507.0,29.0,8.8,0.0,"Food: Avocados, raw, California

        Per 100 grams:
        - Calories: 167.0 kcal
        - Protein: 1.96 g
        - Carbohydrates: 8.64 g
        - Fat: 15.4 g
        - Fiber: 6.8 g
        - Sugar: 0.0 g
        - Saturated Fat: 2.13 g
        - Cholesterol: 0.0 mg
        - Sodium: 8.0 mg
        - Iron: 0.61 mg
        - Calcium: 13.0 mg
        - Potassium: 507.0 mg
        - Magnesium: 29.0 mg
        - Vitamin C: 8.8 mg
        - Vitamin B12: 0.0 µg

        Category: Fruits and Fruit Juices
        Data Source Type: SR Legacy"
"Almonds, unroasted",169406,"Seeds, sesame butter, tahini, from unroasted kernels (non-chemically removed seed coat)",Nut and Seed Products,SR Legacy,607.0,18.0,17.9,56.4,9.3,0.0,7.9,0.0,1.0,6.35,141.0,459.0,353.0,0.0,0.0,"Food: Seeds, sesame butter, tahini, from unroasted kernels (non-chemically removed seed coat)

        Per 100 grams:
        - Calories: 607.0 kcal
        - Protein: 18.0 g
        - Carbohydrates: 17.9 g
        - Fat: 56.4 g
        - Fiber: 9.3 g
        - Sugar: 0.0 g
        - Saturated Fat: 7.9 g
        - Cholesterol: 0.0 mg
        - Sodium: 1.0 mg
        - Iron: 6.35 mg
        - Calcium: 141.0 mg
        - Potassium: 459.0 mg
        - Magnesium: 353.0 mg
        - Vitamin C: 0.0 mg
        - Vitamin B12: 0.0 µg

        Category: Nut and Seed Products
        Data Source Type: SR Legacy"
"Walnuts, raw",2346394,"Nuts, walnuts, English, halves, raw",Nut and Seed Products,Foundation,0.0,14.6,10.9,69.7,5.21,0.0,6.05,0.0,0.0,2.24,88.3,424.0,142.0,0.0,0.0,"Food: Nuts, walnuts, English, halves, raw

        Per 100 grams:
        - Calories: 0.0 kcal
        - Protein: 14.6 g
        - Carbohydrates: 10.9 g
        - Fat: 69.7 g
        - Fiber: 5.21 g
        - Sugar: 0.0 g
        - Saturated Fat: 6.05 g
        - Cholesterol: 0.0 mg
        - Sodium: 0.0 mg
        - Iron: 2.24 mg
        - Calcium: 88.3 mg
        - Potassium: 424.0 mg
        - Magnesium: 142.0 mg
        - Vitamin C: 0.0 mg
        - Vitamin B12: 0.0 µg

        Category: Nut and Seed Products
        Data Source Type: Foundation"
"Peanuts, raw",2515376,"Peanuts, raw",Legumes and Legume Products,Foundation,0.0,23.2,26.5,43.3,8.01,0.0,0.0,0.0,1.49,1.55,49.1,636.0,180.0,0.0,0.0,"Food: Peanuts, raw

        Per 100 grams:
        - Calories: 0.0 kcal
        - Protein: 23.2 g
        - Carbohydrates: 26.5 g
        - Fat: 43.3 g
        - Fiber: 8.01 g
        - Sugar: 0.0 g
        - Saturated Fat: 0.0 g
        - Cholesterol: 0.0 mg
        - Sodium: 1.49 mg
        - Iron: 1.55 mg
        - Calcium: 49.1 mg
        - Potassium: 636.0 mg
        - Magnesium: 180.0 mg
        - Vitamin C: 0.0 mg
        - Vitamin B12: 0.0 µg

        Category: Legumes and Legume Products
        Data Source Type: Foundation"
"Peanut butter, smooth",172458,"Peanut butter, smooth, reduced fat",Legumes and Legume Products,SR Legacy,520.0,25.9,35.6,34.0,5.2,0.0,5.76,0.0,540.0,1.9,35.0,669.0,170.0,0.0,0.0,"Food: Peanut butter, smooth, reduced fat

        Per 100 grams:
        - Calories: 520.0 kcal
        - Protein: 25.9 g
        - Carbohydrates: 35.6 g
        - Fat: 34.0 g
        - Fiber: 5.2 g
        - Sugar: 0.0 g
        - Saturated Fat: 5.76 g
        - Cholesterol: 0.0 mg
        - Sodium: 540.0 mg
        - Iron: 1.9 mg
        - Calcium: 35.0 mg
        - Potassium: 669.0 mg
        - Magnesium: 170.0 mg
        - Vitamin C: 0.0 mg
        - Vitamin B12: 0.0 µg

        Category: Legumes and Legume Products
        Data Source Type: SR Legacy"
"Chia seeds, dried",170554,"Seeds, chia seeds, dried",Nut and Seed Products,SR Legacy,486.0,16.5,42.1,30.7,34.4,0.0,3.33,0.0,16.0,7.72,631.0,407.0,335.0,1.6,0.0,"Food: Seeds, chia seeds, dried

        Per 100 grams:
        - Calories: 486.0 kcal
        - Protein: 16.5 g
        - Carbohydrates: 42.1 g
        - Fat: 30.7 g
        - Fiber: 34.4 g
        - Sugar: 0.0 g
        - Saturated Fat: 3.33 g
        - Cholesterol: 0.0 mg
        - Sodium: 16.0 mg
        - Iron: 7.72 mg
        - Calcium: 631.0 mg
        - Potassium: 407.0 mg
        - Magnesium: 335.0 mg
        - Vitamin C: 1.6 mg
        - Vitamin B12: 0.0 µg

        Category: Nut and Seed Products
        Data Source Type: SR Legacy"
"Flaxseed, whole",2262075,"Flaxseed, ground",Nut and Seed Products,Foundation,0.0,18.0,34.4,37.3,23.1,0.0,3.28,0.0,36.7,5.78,230.0,793.0,372.0,0.0,0.0,"Food: Flaxseed, ground

        Per 100 grams:
        - Calories: 0.0 kcal
        - Protein: 18.0 g
        - Carbohydrates: 34.4 g
        - Fat: 37.3 g
        - Fiber: 23.1 g
        - Sugar: 0.0 g
        - Saturated Fat: 3.28 g
        - Cholesterol: 0.0 mg
        - Sodium: 36.7 mg
        - Iron: 5.78 mg
        - Calcium: 230.0 mg
        - Potassium: 793.0 mg
        - Magnesium: 372.0 mg
        - Vitamin C: 0.0 mg
        - Vitamin B12: 0.0 µg

        Category: Nut and Seed Products
        Data Source Type: Foundation"
"Broccoli, raw",747447,"Broccoli, raw",Vegetables and Vegetable Products,Foundation,31.0,2.57,6.27,0.34,2.4,0.0,0.039,0.0,36.0,0.69,46.0,303.0,21.0,91.3,0.0,"Food: Broccoli, raw

        Per 100 grams:
        - Calories: 31.0 kcal
        - Protein: 2.57 g
        - Carbohydrates: 6.27 g
        - Fat: 0.34 g
        - Fiber: 2.4 g
        - Sugar: 0.0 g
        - Saturated Fat: 0.039 g
        - Cholesterol: 0.0 mg
        - Sodium: 36.0 mg
        - Iron: 0.69 mg
        - Calcium: 46.0 mg
        - Potassium: 303.0 mg
        - Magnesium: 21.0 mg
        - Vitamin C: 91.3 mg
        - Vitamin B12: 0.0 µg

        Category: Vegetables and Vegetable Products
        Data Source Type: Foundation"
"Spinach, raw",168462,"Spinach, raw",Vegetables and Vegetable Products,SR Legacy,23.0,2.86,3.63,0.39,2.2,0.0,0.063,0.0,79.0,2.71,99.0,558.0,79.0,28.1,0.0,"Food: Spinach, raw

        Per 100 grams:
        - Calories: 23.0 kcal
        - Protein: 2.86 g
        - Carbohydrates: 3.63 g
        - Fat: 0.39 g
        - Fiber: 2.2 g
        - Sugar: 0.0 g
        - Saturated Fat: 0.063 g
        - Cholesterol: 0.0 mg
        - Sodium: 79.0 mg
        - Iron: 2.71 mg
        - Calcium: 99.0 mg
        - Potassium: 558.0 mg
        - Magnesium: 79.0 mg
        - Vitamin C: 28.1 mg
        - Vitamin B12: 0.0 µg

        Category: Vegetables and Vegetable Products
        Data Source Type: SR Legacy"
"Cauliflower, raw",2685573,"Cauliflower, raw",Vegetables and Vegetable Products,Foundation,0.0,1.64,4.72,0.238,1.95,0.0,0.0,0.0,20.0,0.334,20.4,274.0,14.2,67.1,0.0,"Food: Cauliflower, raw

        Per 100 grams:
        - Calories: 0.0 kcal
        - Protein: 1.64 g
        - Carbohydrates: 4.72 g
        - Fat: 0.238 g
        - Fiber: 1.95 g
        - Sugar: 0.0 g
        - Saturated Fat: 0.0 g
        - Cholesterol: 0.0 mg
        - Sodium: 20.0 mg
        - Iron: 0.334 mg
        - Calcium: 20.4 mg
        - Potassium: 274.0 mg
        - Magnesium: 14.2 mg
        - Vitamin C: 67.1 mg
        - Vitamin B12: 0.0 µg

        Category: Vegetables and Vegetable Products
        Data Source Type: Foundation"
"Cabbage, raw",169975,"Cabbage, raw",Vegetables and Vegetable Products,SR Legacy,25.0,1.28,5.8,0.1,2.5,0.0,0.034,0.0,18.0,0.47,40.0,170.0,12.0,36.6,0.0,"Food: Cabbage, raw

        Per 100 grams:
        - Calories: 25.0 kcal
        - Protein: 1.28 g
        - Carbohydrates: 5.8 g
        - Fat: 0.1 g
        - Fiber: 2.5 g
        - Sugar: 0.0 g
        - Saturated Fat: 0.034 g
        - Cholesterol: 0.0 mg
        - Sodium: 18.0 mg
        - Iron: 0.47 mg
        - Calcium: 40.0 mg
        - Potassium: 170.0 mg
        - Magnesium: 12.0 mg
        - Vitamin C: 36.6 mg
        - Vitamin B12: 0.0 µg

        Category: Vegetables and Vegetable Products
        Data Source Type: SR Legacy"
"Bell pepper, green, raw",2258588,"Peppers, bell, green, raw",Vegetables and Vegetable Products,Foundation,0.0,0.715,4.78,0.106,0.942,0.0,0.0,0.0,0.0,0.186,7.5,163.0,9.0,99.5,0.0,"Food: Peppers, bell, green, raw

        Per 100 grams:
        - Calories: 0.0 kcal
        - Protein: 0.715 g
        - Carbohydrates: 4.78 g
        - Fat: 0.106 g
        - Fiber: 0.942 g
        - Sugar: 0.0 g
        - Saturated Fat: 0.0 g
        - Cholesterol: 0.0 mg
        - Sodium: 0.0 mg
        - Iron: 0.186 mg
        - Calcium: 7.5 mg
        - Potassium: 163.0 mg
        - Magnesium: 9.0 mg
        - Vitamin C: 99.5 mg
        - Vitamin B12: 0.0 µg

        Category: Vegetables and Vegetable Products
        Data Source Type: Foundation"
"Bell pepper, red, raw",2258590,"Peppers, bell, red, raw",Vegetables and Vegetable Products,Foundation,0.0,0.896,6.65,0.126,1.16,0.0,0.0,0.0,0.0,0.353,6.36,213.0,11.0,142.0,0.0,"Food: Peppers, bell, red, raw

        Per 100 grams:
        - Calories: 0.0 kcal
        - Protein: 0.896 g
        - Carbohydrates: 6.65 g
        - Fat: 0.126 g
        - Fiber: 1.16 g
        - Sugar: 0.0 g
        - Saturated Fat: 0.0 g
        - Cholesterol: 0.0 mg
        - Sodium: 0.0 mg
        - Iron: 0.353 mg
        - Calcium: 6.36 mg
        - Potassium: 213.0 mg
        - Magnesium: 11.0 mg
        - Vitamin C: 142.0 mg
        - Vitamin B12: 0.0 µg

        Category: Vegetables and Vegetable Products
        Data Source Type: Foundation"
"Onion, raw",170000,"Onions, raw",Vegetables and Vegetable Products,SR Legacy,40.0,1.1,9.34,0.1,1.7,0.0,0.042,0.0,4.0,0.21,23.0,146.0,10.0,7.4,0.0,"Food: Onions, raw

        Per 100 grams:
        - Calories: 40.0 kcal
        - Protein: 1.1 g
        - Carbohydrates: 9.34 g
        - Fat: 0.1 g
        - Fiber: 1.7 g
        - Sugar: 0.0 g
        - Saturated Fat: 0.042 g
        - Cholesterol: 0.0 mg
        - Sodium: 4.0 mg
        - Iron: 0.21 mg
        - Calcium: 23.0 mg
        - Potassium: 146.0 mg
        - Magnesium: 10.0 mg
        - Vitamin C: 7.4 mg
        - Vitamin B12: 0.0 µg

        Category: Vegetables and Vegetable Products
        Data Source Type: SR Legacy"
"Garlic, raw",1104647,"Garlic, raw",Vegetables and Vegetable Products,Foundation,143.0,6.62,28.2,0.38,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,"Food: Garlic, raw

        Per 100 grams:
        - Calories: 143.0 kcal
        - Protein: 6.62 g
        - Carbohydrates: 28.2 g
        - Fat: 0.38 g
        - Fiber: 2.7 g
        - Sugar: 0.0 g
        - Saturated Fat: 0.0 g
        - Cholesterol: 0.0 mg
        - Sodium: 0.0 mg
        - Iron: 0.0 mg
        - Calcium: 0.0 mg
        - Potassium: 0.0 mg
        - Magnesium: 0.0 mg
        - Vitamin C: 10.0 mg
        - Vitamin B12: 0.0 µg

        Category: Vegetables and Vegetable Products
        Data Source Type: Foundation"
"Zucchini, raw",168565,"Squash, zucchini, baby, raw",Vegetables and Vegetable Products,SR Legacy,21.0,2.71,3.11,0.4,1.1,0.0,0.083,0.0,3.0,0.79,21.0,459.0,33.0,34.1,0.0,"Food: Squash, zucchini, baby, raw

        Per 100 grams:
        - Calories: 21.0 kcal
        - Protein: 2.71 g
        - Carbohydrates: 3.11 g
        - Fat: 0.4 g
        - Fiber: 1.1 g
        - Sugar: 0.0 g
        - Saturated Fat: 0.083 g
        - Cholesterol: 0.0 mg
        - Sodium: 3.0 mg
        - Iron: 0.79 mg
        - Calcium: 21.0 mg
        - Potassium: 459.0 mg
        - Magnesium: 33.0 mg
        - Vitamin C: 34.1 mg
        - Vitamin B12: 0.0 µg

        Category: Vegetables and Vegetable Products
        Data Source Type: SR Legacy"
"Cucumber, raw",169225,"Cucumber, peeled, raw",Vegetables and Vegetable Products,SR Legacy,10.0,0.59,2.16,0.16,0.7,0.0,0.078,0.0,2.0,0.22,14.0,136.0,12.0,3.2,0.0,"Food: Cucumber, peeled, raw

        Per 100 grams:
        - Calories: 10.0 kcal
        - Protein: 0.59 g
        - Carbohydrates: 2.16 g
        - Fat: 0.16 g
        - Fiber: 0.7 g
        - Sugar: 0.0 g
        - Saturated Fat: 0.078 g
        - Cholesterol: 0.0 mg
        - Sodium: 2.0 mg
        - Iron: 0.22 mg
        - Calcium: 14.0 mg
        - Potassium: 136.0 mg
        - Magnesium: 12.0 mg
        - Vitamin C: 3.2 mg
        - Vitamin B12: 0.0 µg

        Category: Vegetables and Vegetable Products
        Data Source Type: SR Legacy"
"Tomatoes, red, ripe, raw",170457,"Tomatoes, red, ripe, raw, year round average",Vegetables and Vegetable Products,SR Legacy,18.0,0.88,3.89,0.2,1.2,0.0,0.028,0.0,5.0,0.27,10.0,237.0,11.0,13.7,0.0,"Food: Tomatoes, red, ripe, raw, year round average

        Per 100 grams:
        - Calories: 18.0 kcal
        - Protein: 0.88 g
        - Carbohydrates: 3.89 g
        - Fat: 0.2 g
        - Fiber: 1.2 g
        - Sugar: 0.0 g
        - Saturated Fat: 0.028 g
        - Cholesterol: 0.0 mg
        - Sodium: 5.0 mg
        - Iron: 0.27 mg
        - Calcium: 10.0 mg
        - Potassium: 237.0 mg
        - Magnesium: 11.0 mg
        - Vitamin C: 13.7 mg
        - Vitamin B12: 0.0 µg

        Category: Vegetables and Vegetable Products
        Data Source Type: SR Legacy"
"Carrots, raw",170393,"Carrots, raw",Vegetables and Vegetable Products,SR Legacy,41.0,0.93,9.58,0.24,2.8,0.0,0.032,0.0,69.0,0.3,33.0,320.0,12.0,5.9,0.0,"Food: Carrots, raw

        Per 100 grams:
        - Calories: 41.0 kcal
        - Protein: 0.93 g
        - Carbohydrates: 9.58 g
        - Fat: 0.24 g
        - Fiber: 2.8 g
        - Sugar: 0.0 g
        - Saturated Fat: 0.032 g
        - Cholesterol: 0.0 mg
        - Sodium: 69.0 mg
        - Iron: 0.3 mg
        - Calcium: 33.0 mg
        - Potassium: 320.0 mg
        - Magnesium: 12.0 mg
        - Vitamin C: 5.9 mg
        - Vitamin B12: 0.0 µg

        Category: Vegetables and Vegetable Products
        Data Source Type: SR Legacy"
"Eggplant, raw",169228,"Eggplant, raw",Vegetables and Vegetable Products,SR Legacy,25.0,0.98,5.88,0.18,3.0,0.0,0.034,0.0,2.0,0.23,9.0,229.0,14.0,2.2,0.0,"Food: Eggplant, raw

        Per 100 grams:
        - Calories: 25.0 kcal
        - Protein: 0.98 g
        - Carbohydrates: 5.88 g
        - Fat: 0.18 g
        - Fiber: 3.0 g
        - Sugar: 0.0 g
        - Saturated Fat: 0.034 g
        - Cholesterol: 0.0 mg
        - Sodium: 2.0 mg
        - Iron: 0.23 mg
        - Calcium: 9.0 mg
        - Potassium: 229.0 mg
        - Magnesium: 14.0 mg
        - Vitamin C: 2.2 mg
        - Vitamin B12: 0.0 µg

        Category: Vegetables and Vegetable Products
        Data Source Type: SR Legacy"
"Molokhia, raw",167782,"Abiyuch, raw",Fruits and Fruit Juices,SR Legacy,69.0,1.5,17.6,0.1,5.3,0.0,0.014,0.0,20.0,1.61,8.0,304.0,24.0,54.1,0.0,"Food: Abiyuch, raw

        Per 100 grams:
        - Calories: 69.0 kcal
        - Protein: 1.5 g
        - Carbohydrates: 17.6 g
        - Fat: 0.1 g
        - Fiber: 5.3 g
        - Sugar: 0.0 g
        - Saturated Fat: 0.014 g
        - Cholesterol: 0.0 mg
        - Sodium: 20.0 mg
        - Iron: 1.61 mg
        - Calcium: 8.0 mg
        - Potassium: 304.0 mg
        - Magnesium: 24.0 mg
        - Vitamin C: 54.1 mg
        - Vitamin B12: 0.0 µg

        Category: Fruits and Fruit Juices
        Data Source Type: SR Legacy"
"Dates, medjool",168191,"Dates, medjool",Fruits and Fruit Juices,SR Legacy,277.0,1.81,75.0,0.15,6.7,0.0,0.0,0.0,1.0,0.9,64.0,696.0,54.0,0.0,0.0,"Food: Dates, medjool

        Per 100 grams:
        - Calories: 277.0 kcal
        - Protein: 1.81 g
        - Carbohydrates: 75.0 g
        - Fat: 0.15 g
        - Fiber: 6.7 g
        - Sugar: 0.0 g
        - Saturated Fat: 0.0 g
        - Cholesterol: 0.0 mg
        - Sodium: 1.0 mg
        - Iron: 0.9 mg
        - Calcium: 64.0 mg
        - Potassium: 696.0 mg
        - Magnesium: 54.0 mg
        - Vitamin C: 0.0 mg
        - Vitamin B12: 0.0 µg

        Category: Fruits and Fruit Juices
        Data Source Type: SR Legacy"
"Guava, raw",173044,"Guavas, common, raw",Fruits and Fruit Juices,SR Legacy,68.0,2.55,14.3,0.95,5.4,0.0,0.272,0.0,2.0,0.26,18.0,417.0,22.0,228.0,0.0,"Food: Guavas, common, raw

        Per 100 grams:
        - Calories: 68.0 kcal
        - Protein: 2.55 g
        - Carbohydrates: 14.3 g
        - Fat: 0.95 g
        - Fiber: 5.4 g
        - Sugar: 0.0 g
        - Saturated Fat: 0.272 g
        - Cholesterol: 0.0 mg
        - Sodium: 2.0 mg
        - Iron: 0.26 mg
        - Calcium: 18.0 mg
        - Potassium: 417.0 mg
        - Magnesium: 22.0 mg
        - Vitamin C: 228.0 mg
        - Vitamin B12: 0.0 µg

        Category: Fruits and Fruit Juices
        Data Source Type: SR Legacy"
"Pomegranate, raw",169134,"Pomegranates, raw",Fruits and Fruit Juices,SR Legacy,83.0,1.67,18.7,1.17,4.0,0.0,0.12,0.0,3.0,0.3,10.0,236.0,12.0,10.2,0.0,"Food: Pomegranates, raw

        Per 100 grams:
        - Calories: 83.0 kcal
        - Protein: 1.67 g
        - Carbohydrates: 18.7 g
        - Fat: 1.17 g
        - Fiber: 4.0 g
        - Sugar: 0.0 g
        - Saturated Fat: 0.12 g
        - Cholesterol: 0.0 mg
        - Sodium: 3.0 mg
        - Iron: 0.3 mg
        - Calcium: 10.0 mg
        - Potassium: 236.0 mg
        - Magnesium: 12.0 mg
        - Vitamin C: 10.2 mg
        - Vitamin B12: 0.0 µg

        Category: Fruits and Fruit Juices
        Data Source Type: SR Legacy"
"Figs, raw",173021,"Figs, raw",Fruits and Fruit Juices,SR Legacy,74.0,0.75,19.2,0.3,2.9,0.0,0.06,0.0,1.0,0.37,35.0,232.0,17.0,2.0,0.0,"Food: Figs, raw

        Per 100 grams:
        - Calories: 74.0 kcal
        - Protein: 0.75 g
        - Carbohydrates: 19.2 g
        - Fat: 0.3 g
        - Fiber: 2.9 g
        - Sugar: 0.0 g
        - Saturated Fat: 0.06 g
        - Cholesterol: 0.0 mg
        - Sodium: 1.0 mg
        - Iron: 0.37 mg
        - Calcium: 35.0 mg
        - Potassium: 232.0 mg
        - Magnesium: 17.0 mg
        - Vitamin C: 2.0 mg
        - Vitamin B12: 0.0 µg

        Category: Fruits and Fruit Juices
        Data Source Type: SR Legacy"
"Watermelon, raw",167765,"Watermelon, raw",Fruits and Fruit Juices,SR Legacy,30.0,0.61,7.55,0.15,0.4,0.0,0.016,0.0,1.0,0.24,7.0,112.0,10.0,8.1,0.0,"Food: Watermelon, raw

        Per 100 grams:
        - Calories: 30.0 kcal
        - Protein: 0.61 g
        - Carbohydrates: 7.55 g
        - Fat: 0.15 g
        - Fiber: 0.4 g
        - Sugar: 0.0 g
        - Saturated Fat: 0.016 g
        - Cholesterol: 0.0 mg
        - Sodium: 1.0 mg
        - Iron: 0.24 mg
        - Calcium: 7.0 mg
        - Potassium: 112.0 mg
        - Magnesium: 10.0 mg
        - Vitamin C: 8.1 mg
        - Vitamin B12: 0.0 µg

        Category: Fruits and Fruit Juices
        Data Source Type: SR Legacy"
"Mango, raw",169910,"Mangos, raw",Fruits and Fruit Juices,SR Legacy,60.0,0.82,15.0,0.38,1.6,0.0,0.092,0.0,1.0,0.16,11.0,168.0,10.0,36.4,0.0,"Food: Mangos, raw

        Per 100 grams:
        - Calories: 60.0 kcal
        - Protein: 0.82 g
        - Carbohydrates: 15.0 g
        - Fat: 0.38 g
        - Fiber: 1.6 g
        - Sugar: 0.0 g
        - Saturated Fat: 0.092 g
        - Cholesterol: 0.0 mg
        - Sodium: 1.0 mg
        - Iron: 0.16 mg
        - Calcium: 11.0 mg
        - Potassium: 168.0 mg
        - Magnesium: 10.0 mg
        - Vitamin C: 36.4 mg
        - Vitamin B12: 0.0 µg

        Category: Fruits and Fruit Juices
        Data Source Type: SR Legacy"
"Banana, raw",173944,"Bananas, raw",Fruits and Fruit Juices,SR Legacy,89.0,1.09,22.8,0.33,2.6,0.0,0.112,0.0,1.0,0.26,5.0,358.0,27.0,8.7,0.0,"Food: Bananas, raw

        Per 100 grams:
        - Calories: 89.0 kcal
        - Protein: 1.09 g
        - Carbohydrates: 22.8 g
        - Fat: 0.33 g
        - Fiber: 2.6 g
        - Sugar: 0.0 g
        - Saturated Fat: 0.112 g
        - Cholesterol: 0.0 mg
        - Sodium: 1.0 mg
        - Iron: 0.26 mg
        - Calcium: 5.0 mg
        - Potassium: 358.0 mg
        - Magnesium: 27.0 mg
        - Vitamin C: 8.7 mg
        - Vitamin B12: 0.0 µg

        Category: Fruits and Fruit Juices
        Data Source Type: SR Legacy"
"Apple, raw",168171,"Rose-apples, raw",Fruits and Fruit Juices,SR Legacy,25.0,0.6,5.7,0.3,0.0,0.0,0.0,0.0,0.0,0.07,29.0,123.0,5.0,22.3,0.0,"Food: Rose-apples, raw

        Per 100 grams:
        - Calories: 25.0 kcal
        - Protein: 0.6 g
        - Carbohydrates: 5.7 g
        - Fat: 0.3 g
        - Fiber: 0.0 g
        - Sugar: 0.0 g
        - Saturated Fat: 0.0 g
        - Cholesterol: 0.0 mg
        - Sodium: 0.0 mg
        - Iron: 0.07 mg
        - Calcium: 29.0 mg
        - Potassium: 123.0 mg
        - Magnesium: 5.0 mg
        - Vitamin C: 22.3 mg
        - Vitamin B12: 0.0 µg

        Category: Fruits and Fruit Juices
        Data Source Type: SR Legacy"
